Year;Month;Date;District;Municipality;Parish;incl Electric mobility;Number of CPE's with collected DC;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024;1;2024-01;Coimbra;Figueira da Foz;Moinhos da Gândara;Não;254;06;0605;060518
2024;1;2024-01;Coimbra;Figueira da Foz;Ferreira-a-Nova;Não;330;06;0605;060521
2024;1;2024-01;Coimbra;Figueira da Foz;Lavos;Não;848;06;0605;060522
2024;1;2024-01;Coimbra;Góis;Vila Nova do Ceira;Não;432;06;0606;060605
2024;1;2024-01;Coimbra;Penela;São Miguel, Santa Eufémia e Rabaçal;Sim;1;06;0614;061407
2024;1;2024-01;Coimbra;Soure;Samuel;Não;141;06;0615;061508
2024;1;2024-01;Coimbra;Tábua;Midões;Não;664;06;0616;061608
2024;1;2024-01;Coimbra;Vila Nova de Poiares;Poiares (Santo André);Sim;1;06;0617;061703
2024;1;2024-01;Évora;Arraiolos;Gafanhoeira (São Pedro) e Sabugueiro;Não;120;07;0702;070208
2024;1;2024-01;Évora;Évora;Canaviais;Não;359;07;0705;070515
2024;1;2024-01;Évora;Portel;Santana;Não;265;07;0709;070906
2024;1;2024-01;Évora;Reguengos de Monsaraz;Reguengos de Monsaraz;Sim;3;07;0711;071104
2024;1;2024-01;Évora;Vendas Novas;Vendas Novas;Não;5502;07;0712;071201
2024;1;2024-01;Faro;Loulé;Quarteira;Sim;6;08;0808;080805
2024;1;2024-01;Faro;Loulé;Loulé (São Sebastião);Não;3895;08;0808;080809
2024;1;2024-01;Faro;São Brás de Alportel;São Brás de Alportel;Sim;1;08;0812;081201
2024;1;2024-01;Faro;Silves;Armação de Pêra;Não;8921;08;0813;081303
2024;1;2024-01;Faro;Silves;Armação de Pêra;Sim;1;08;0813;081303
2024;1;2024-01;Faro;Tavira;Tavira (Santa Maria e Santiago);Sim;2;08;0814;081412
2024;1;2024-01;Guarda;Aguiar da Beira;Cortiçada;Não;331;09;0901;090103
2024;1;2024-01;Guarda;Aguiar da Beira;Aguiar da Beira e Coruche;Sim;1;09;0901;090114
2024;1;2024-01;Guarda;Celorico da Beira;Baraçal;Não;158;09;0903;090302
2024;1;2024-01;Guarda;Gouveia;Figueiró da Serra e Freixo da Serra;Não;303;09;0906;090624
2024;1;2024-01;Guarda;Guarda;Pega;Não;186;09;0907;090729
2024;1;2024-01;Guarda;Guarda;Corujeira e Trinta;Não;124;09;0907;090762
2024;1;2024-01;Guarda;Mêda;Aveloso;Não;132;09;0909;090901
2024;1;2024-01;Guarda;Pinhel;Manigoto;Não;54;09;0910;091014
2024;1;2024-01;Guarda;Sabugal;Quadrazais;Não;391;09;0911;091123
2024;1;2024-01;Guarda;Sabugal;Santo Estêvão e Moita;Não;91;09;0911;091146
2024;1;2024-01;Guarda;Seia;Seia, São Romão e Lapa dos Dinheiros;Sim;1;09;0912;091233
2024;1;2024-01;Guarda;Trancoso;Trancoso (São Pedro e Santa Maria) e Souto Maior;Sim;1;09;0913;091332
2024;1;2024-01;Guarda;Vila Nova de Foz Côa;Muxagata;Não;76;09;0914;091410
2024;1;2024-01;Leiria;Bombarral;Bombarral e Vale Covo;Não;3664;10;1005;100506
2024;1;2024-01;Leiria;Caldas da Rainha;Caldas da Rainha - Santo Onofre e Serra do Bouro;Sim;2;10;1006;100618
2024;1;2024-01;Leiria;Leiria;Regueira de Pontes;Não;1020;10;1009;100921
2024;1;2024-01;Leiria;Pombal;Pombal;Sim;1;10;1015;101509
2024;1;2024-01;Leiria;Porto de Mós;Juncal;Não;1600;10;1016;101606
2024;1;2024-01;Lisboa;Alenquer;Ventosa;Não;1013;11;1101;110113
2024;1;2024-01;Lisboa;Azambuja;Aveiras de Baixo;Não;621;11;1103;110302
2024;1;2024-01;Lisboa;Cascais;Alcabideche;Sim;22;11;1105;110501
2024;1;2024-01;Lisboa;Lisboa;Alcântara;Sim;7;11;1106;110602
2024;1;2024-01;Lisboa;Lourinhã;Lourinhã e Atalaia;Sim;4;11;1108;110812
2024;1;2024-01;Lisboa;Oeiras;Oeiras e S. Julião da Barra, Paço de Arcos e Caxias;Não;25651;11;1110;111014
2024;1;2024-01;Lisboa;Sintra;Casal de Cambra;Não;4569;11;1111;111115
2024;1;2024-01;Lisboa;Torres Vedras;São Pedro da Cadeira;Não;937;11;1113;111314
2024;1;2024-01;Lisboa;Odivelas;Odivelas;Sim;12;11;1116;111603
2024;1;2024-01;Portalegre;Arronches;Mosteiros;Não;176;12;1202;120203
2024;1;2024-01;Portalegre;Crato;Gáfete;Não;627;12;1206;120604
2024;1;2024-01;Portalegre;Nisa;Santana;Não;277;12;1212;121207
2024;1;2024-01;Portalegre;Ponte de Sor;Montargil;Não;1024;12;1213;121302
2024;1;2024-01;Portalegre;Ponte de Sor;Foros de Arrão;Não;514;12;1213;121304
2024;1;2024-01;Porto;Baião;Baião (Santa Leocádia) e Mesquinhata;Não;440;13;1302;130222
2024;1;2024-01;Porto;Felgueiras;Friande;Não;408;13;1303;130305
2024;1;2024-01;Porto;Felgueiras;Vila Fria e Vizela (São Jorge);Não;59;13;1303;130340
2024;1;2024-01;Porto;Gondomar;Rio Tinto;Não;17236;13;1304;130408
2024;1;2024-01;Porto;Lousada;Cristelos, Boim e Ordem;Sim;1;13;1305;130528
2024;1;2024-01;Porto;Marco de Canaveses;Penha Longa e Paços de Gaiolo;Não;270;13;1307;130738
2024;1;2024-01;Porto;Paços de Ferreira;Seroa;Não;680;13;1309;130916
2024;1;2024-01;Porto;Paços de Ferreira;Sanfins Lamoso Codessos;Não;944;13;1309;130919
2024;1;2024-01;Porto;Paredes;Vilela;Não;1454;13;1310;131024
2024;1;2024-01;Porto;Penafiel;Cabeça Santa;Não;366;13;1311;131104
2024;1;2024-01;Porto;Póvoa de Varzim;Estela;Não;1042;13;1313;131307
2024;1;2024-01;Porto;Santo Tirso;Areias, Sequeiró, Lama e Palmeira;Não;2137;13;1314;131433
2024;1;2024-01;Porto;Santo Tirso;Vila Nova do Campo;Não;1174;13;1314;131434
2024;1;2024-01;Santarém;Abrantes;Alvega e Concavada;Não;657;14;1401;140122
2024;1;2024-01;Santarém;Coruche;Coruche, Fajarda e Erra;Sim;2;14;1409;140909
2024;1;2024-01;Santarém;Mação;Mação, Penhascoso e Aboboreira;Não;2728;14;1413;141309
2024;1;2024-01;Santarém;Rio Maior;Outeiro da Cortiçada e Arruda dos Pisões;Não;174;14;1414;141417
2024;1;2024-01;Santarém;Ourém;Gondemaria e Olival;Não;1817;14;1421;142120
